fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,quality,good_quality,cluster,free_to_total_SO2,total_acidity,alcohol_acidity_ratio,PC1_score,PC2_score
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,0,0,0.3235294117647059,8.1,13.42857142857143,-1.6171845210603735,0.4830470636386372
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,5,0,0,0.373134328358209,8.68,11.136363636363637,-0.7597499012749727,1.8519022337725983
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5,0,0,0.2777777777777778,8.56,12.894736842105264,-0.729911500363683,0.8902268409742862
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,6,0,1,0.2833333333333333,11.479999999999999,35.0,2.361030241902717,-0.23549564420120445
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5,0,0,0.325,8.06,14.242424242424242,-1.577086624998008,0.6040422755034848
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,5,0,0,0.2542372881355932,8.5,15.666666666666668,-1.0851151278606672,0.6648214580577134
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7,1,0,0.7142857142857143,7.95,15.384615384615383,-2.2444718442737965,-0.35790822131168254
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,7,1,0,0.5,8.379999999999999,16.379310344827587,-1.0928717111022186,-0.27049480535924875
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5,0,1,0.16666666666666666,8.0,21.0,0.6714223403303018,1.592848731981217
6.7,0.58,0.08,1.8,0.0969999999999999,15.0,65.0,0.9959,3.28,0.54,9.2,5,0,0,0.23076923076923078,7.28,15.862068965517242,-1.1074476735265406,0.8953209573550639
5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,5,0,0,0.2711864406779661,6.215,16.097560975609756,-3.014400838093371,0.523847678527634
