feature,coefficient,abs_coef
alcohol,0.9499803602863628,0.9499803602863628
sulphates,0.5938911628092473,0.5938911628092473
volatile_acidity,-0.4726634545017204,0.4726634545017204
free_to_total_SO2,0.43812243626386854,0.43812243626386854
PC2_score,-0.4036451310218964,0.4036451310218964
chlorides,-0.39850579645508677,0.39850579645508677
free_sulfur_dioxide,-0.30574660363671097,0.30574660363671097
residual_sugar,0.25274170412025654,0.25274170412025654
total_sulfur_dioxide,0.24029813691551946,0.24029813691551946
citric_acid,-0.23797408386525795,0.23797408386525795
fixed_acidity,0.22286703356669033,0.22286703356669033
total_acidity,0.17703687682025054,0.17703687682025054
density,-0.109186941078227,0.109186941078227
ph,-0.10799730283507046,0.10799730283507046
PC1_score,0.0721904567638281,0.0721904567638281
cluster,0.06485661163535102,0.06485661163535102
alcohol_acidity_ratio,0.03739591494703152,0.03739591494703152
