feature,mean_drop_f1,std_drop_f1
alcohol,0.1794136997062096,0.045912301968401424
sulphates,0.12612933689890915,0.03693122893471806
alcohol_acidity_ratio,0.04999565540312997,0.027323279899328184
ph,0.03872385394870442,0.021195945348468786
PC2_score,0.0274474934389247,0.021589951461469914
chlorides,0.015597143531528839,0.01964585149882088
density,0.012555891138836761,0.020849242733805815
total_acidity,0.00724579068740599,0.012620840341794465
volatile_acidity,0.006977991902509873,0.012541803880729525
free_to_total_SO2,0.006825164467569422,0.020140000702718236
residual_sugar,0.00282195698448951,0.014891685582659096
fixed_acidity,0.0008001127024519439,0.010389196128754557
PC1_score,0.0006567114460405588,0.0181913786926944
citric_acid,0.0002452467424360061,0.02427931971316002
cluster,0.0,0.0
total_sulfur_dioxide,-0.008635605547863611,0.022431781842961934
free_sulfur_dioxide,-0.019698311195880037,0.01912845222898905
