feature,impurity
alcohol,0.18658128696297882
PC2_score,0.14105730900236363
alcohol_acidity_ratio,0.12147123403846231
sulphates,0.12007881782462276
volatile_acidity,0.05747752354439512
citric_acid,0.05684570098253407
chlorides,0.037314130152170014
total_acidity,0.03649615206253718
density,0.03525541759318865
total_sulfur_dioxide,0.03436016833159892
free_sulfur_dioxide,0.03077351350131121
free_to_total_SO2,0.030528280118379453
fixed_acidity,0.028625190220370123
PC1_score,0.028349149181976785
ph,0.022764947715054797
residual_sugar,0.019508378124659553
cluster,0.012512800643396646
