feature,gain_pct
alcohol,24.642364250808157
alcohol_acidity_ratio,13.11983076676869
sulphates,8.08097701475803
PC2_score,6.698136842016916
ph,5.677188604098733
fixed_acidity,4.855786877573557
total_sulfur_dioxide,4.585005348290435
free_sulfur_dioxide,4.421993759866808
PC1_score,4.269265797648007
citric_acid,3.9548741321146665
free_to_total_SO2,3.7694763565092404
chlorides,3.690777585451097
total_acidity,3.4406951889570916
density,3.3134431345025606
volatile_acidity,3.167358223705739
residual_sugar,2.312826116930271
cluster,0.0
